Stock;Price;Change;Percent Change;Closing Price;Sector;Industry;Employees;Founded;Website;1-day range;52-week range;Market cap;Market cap clear;P/E ratio;Next earnings date;Dividend yield;Ex-dividend date;Dividend pay date;Number of analysts;Buy Recommendation;Hold Recommendation;Sell Recommendation;Smart Score;Score;High Forecast;High Forecast Percent;Median Forecast;Median Forecast Percent;Low Forecast;Low Forecast Percent;Total revenue Value;Total revenue Change;Net income Value;Net income Change;Earnings per share Value;Earnings per share Change;Net profit margin Value;Net profit margin Change;Free cash flow Value;Free cash flow Change;Debt-to-equity ratio Value;Debt-to-equity ratio Change;Date of record;Time of record;Page Load Time (s);Dynamic Element Load Time (s);Fear & Greed Index;;;;;;;;;;;;;;
WMT;90.81;- 0.62;-0.68;90.97;Retail Trade;Specialty Stores;2100000;1962;www.corporate.walmart.com;"90.45
91.94";"51.87
96.18";729.51B;729510000000.0;37.29;Feb 19, 2025;1.38;2024-12-12;2025-01-05;41;0.9;0.07;0.02;7;2.086961788349301;110.0;21.132033916969494;100.0;10.12003083360863;90.0;-0.8919722497522323;169.59B;5.46%;4.58B;910.38%;0.57;913.06%;2.70%;858.04%;372.00M;108.01%;0.70;20.15%;2025-01-08;10:53:38 UTC;2.31;0.01;;;;;;;;;;;;;;;
LLY;773.29;+ 8.19;1.07;771.13;Health Technology;Pharmaceuticals: Major;43000;1876;www.lilly.com;"761.62
783.96";"609.59
972.53";734.10B;734100000000.0;84.59;Feb 5, 2025;0.78;2025-02-13;2025-03-09;31;0.77;0.19;0.03;6;2.2914228814545647;1250.0;61.646988839891904;1005.0;29.964179027273087;700.0;-9.477686249660538;11.44B;20.43%;970.30M;1,790.42%;1.07;1,780.56%;8.48%;1,503.66%;2.36B;93.67%;2.19;21.58%;2025-01-08;10:53:38 UTC;2.59;0.01;;;;;;;;;;;;;;;
JPM;243.17;+ 2.32;0.96;243.47;Finance;Major Banks;309926;1968;www.jpmorganchase.com;"240.90
245.26";"164.30
254.31";684.61B;684610000000.0;13.53;Jan 14, 2025;2.41;2025-01-05;2025-01-30;24;0.63;0.29;0.08;10;0.6927051034255876;276.0;13.50084303162397;250.5;3.014352099354366;200.0;-17.75301229592466;69.23B;11.37%;12.82B;1.90%;4.37;1.12%;18.52%;11.92%;32.26B;23.26%;2.73;11.35%;2025-01-08;10:53:38 UTC;3.13;0.01;;;;;;;;;;;;;;;
V;311.67;- 1.37;-0.44;312.66;Commercial Services;Miscellaneous Commercial Services;31600;1958;usa.visa.com;"311.32
315.19";"252.70
321.62";611.20B;611200000000.0;32.5;Jan 22, 2025;0.76;2024-11-11;2024-12-01;43;0.74;0.23;0.02;10;1.6601488754130966;375.0;20.319568774665505;326.5;4.758237879808767;289.0;-7.273718997657784;9.62B;9.60%;5.25B;14.26%;2.62;17.39%;54.57%;1.93%;6.36B;49.28%;0.57;0.39%;2025-01-08;10:53:38 UTC;2.23;0.01;;;;;;;;;;;;;;;
MA;511.4;- 0.53;-0.1;513.95;Commercial Services;Miscellaneous Commercial Services;33400;1966;www.mastercard.com;"511.07
516.33";"416.53
537.70";469.38B;469380000000.0;38.67;Jan 28, 2025;0.56;2025-01-09;2025-02-06;38;0.79;0.21;0.0;9;1.8757723895189675;618.0;20.844739929605012;572.0;11.84982401251467;491.0;-3.9890496675791898;7.37B;12.62%;3.26B;2.03%;3.53;4.02%;44.28%;9.40%;4.93B;62.06%;2.47;0.04%;2025-01-08;10:53:38 UTC;1.86;0.01;;;;;;;;;;;;;;;
ORCL;162.03;- 3.66;-2.21;162.56;Technology Services;Packaged Software;159000;1977;www.oracle.com;"161.32
166.16";"102.13
198.31";453.19B;453190000000.0;39.65;Mar 12, 2025;1.37;2025-01-09;2025-01-22;38;0.58;0.39;0.03;7;1.9754323273467875;250.0;54.29241498487934;205.0;26.51978028760106;140.0;-13.596247608467568;14.06B;8.64%;3.15B;25.89%;1.10;23.61%;22.41%;15.88%;- 2.67B;184.53%;6.45;71.93%;2025-01-08;10:53:38 UTC;1.92;0.01;;;;;;;;;;;;;;;
XOM;108.75;+ 1.01;0.94;109.16;Energy Minerals;Integrated Oil;62000;1882;www.exxonmobil.com;"108.28
110.06";"95.77
126.34";477.97B;477970000000.0;13.54;Jan 30, 2025;3.68;2024-11-13;2024-12-09;31;0.58;0.39;0.03;5;1.8550574712643675;149.0;37.01149425287356;131.5;20.919540229885058;105.0;-3.4482758620689653;87.10B;2.81%;8.61B;5.07%;1.93;14.37%;9.88%;2.33%;11.41B;3.31%;0.16;23.31%;2025-01-08;10:53:38 UTC;2.7;0.01;;;;;;;;;;;;;;;
UNH;514.25;+ 0.58;0.11;515.00;Health Services;Managed Health Care;440000;1977;www.unitedhealthgroup.com;"511.22
519.50";"436.38
630.73";473.26B;473260000000.0;33.41;Jan 15, 2025;1.38;2024-12-08;2024-12-16;31;0.87;0.13;0.0;4;2.84051045211473;715.0;39.037433155080215;640.0;24.453087019931942;595.0;15.702479338842975;100.82B;10.35%;6.05B;3.66%;6.51;4.33%;6.01%;6.06%;12.95B;113.62%;0.83;10.03%;2025-01-08;10:53:38 UTC;2.78;0.01;;;;;;;;;;;;;;;
COST;921.37;- 1.34;-0.15;923.48;Retail Trade;Specialty Stores;333000;1983;www.costco.com;"916.43
931.30";"652.24
1,008.25";409.00B;409000000000.0;54.1;Mar 5, 2025;0.49;2024-10-31;2024-11-14;38;0.58;0.37;0.05;8;1.1616910687346016;1145.0;24.27146531795044;1000.0;8.534030845371564;755.0;-18.056806711744468;62.15B;6.21%;1.80B;6.96%;4.04;13.03%;2.89%;5.23%;2.00B;3.05%;0.33;6.99%;2025-01-08;10:53:38 UTC;2.42;0.01;;;;;;;;;;;;;;;
PG;161.3;+ 0.70;0.44;161.43;Consumer Non-Durables;Household/Personal Care;108000;1837;us.pg.com/;"160.74
162.61";"146.28
180.43";379.87B;379870000000.0;27.82;Jan 21, 2025;2.32;2024-10-17;2024-11-14;31;0.58;0.39;0.03;6;1.766404215747055;209.0;29.572225666460007;183.0;13.453192808431485;163.0;1.0539367637941652;21.74B;7.64%;3.96B;5.46%;1.61;12.11%;18.21%;11.89%;3.31B;27.05%;0.71;7.47%;2025-01-08;10:53:38 UTC;2.51;0.01;;;;;;;;;;;;;;;
HD;384.23;- 5.14;-1.32;385.23;Retail Trade;Home Improvement Chains;463100;1978;www.homedepot.com;"383.10
391.90";"323.77
439.37";381.68B;381680000000.0;26.11;Feb 24, 2025;2.35;2024-11-26;2024-12-11;41;0.66;0.27;0.07;6;1.8020047887983761;500.0;30.13039065143273;450.0;17.117351586289455;352.0;-8.38820498139136;40.22B;6.65%;3.65B;4.25%;3.67;3.67%;9.07%;10.22%;3.42B;4.15%;10.95;68.20%;2025-01-08;10:53:38 UTC;3.63;0.01;;;;;;;;;;;;;;;
NFLX;879.19;- 2.60;-0.29;879.40;Technology Services;Internet Software/Services;13000;1997;www.netflix.com;"869.11
888.00";"471.80
941.75";375.82B;375820000000.0;49.75;Jan 20, 2025;;;;55;0.58;0.35;0.07;6;0.6146065128129297;1100.0;25.115162820323246;825.0;-6.163627884757567;550.0;-37.442418589838375;9.78B;14.46%;2.36B;40.90%;5.40;44.80%;24.18%;23.10%;2.19B;16.20%;0.81;7.43%;2025-01-08;10:53:38 UTC;3.25;0.01;;;;;;;;;;;;;;;
JNJ;146.23;+ 2.57;1.79;146.80;Health Technology;Pharmaceuticals: Major;131900;1887;www.jnj.com;"143.59
147.18";"142.75
168.85";352.07B;352070000000.0;24.17;Jan 21, 2025;3.0;2025-02-17;2025-03-03;23;0.43;0.57;0.0;10;2.015760787800042;215.0;47.02865349107571;175.0;19.67448539971279;159.0;8.73281816316762;22.47B;5.27%;2.69B;37.48%;1.11;43.91%;11.99%;40.61%;6.96B;6.78%;0.51;21.31%;2025-01-08;10:53:38 UTC;2.5;0.01;;;;;;;;;;;;;;;
BAC;46.08;+ 0.68;1.5;46.29;Finance;Major Banks;213000;1904;www.bankofamerica.com;"45.65
46.65";"31.27
48.08";353.57B;353570000000.0;16.75;Jan 15, 2025;2.73;2024-12-05;2024-12-26;23;0.74;0.22;0.04;8;1.3014930555555557;57.0;23.69791666666667;50.0;8.506944444444448;42.0;-8.854166666666663;51.73B;14.11%;6.90B;11.61%;0.81;10.31%;13.33%;22.54%;- 2.50B;127.10%;2.73;11.88%;2025-01-08;10:53:38 UTC;3.47;0.01;;;;;;;;;;;;;;;
CRM;324.93;- 5.60;-1.69;326.43;Technology Services;Packaged Software;72682;1999;www.salesforce.com;"322.91
331.50";"212.00
369.00";310.96B;310960000000.0;53.46;Mar 3, 2025;;2024-12-17;2025-01-08;55;0.76;0.2;0.04;9;2.3998787431139013;450.0;38.491367371433846;415.0;27.719816575877882;286.0;-11.981042070599823;9.44B;8.30%;1.53B;24.75%;1.58;26.83%;16.17%;15.19%;1.78B;30.23%;0.21;12.15%;2025-01-08;10:53:38 UTC;3.27;0.01;;;;;;;;;;;;;;;
ABBV;179.53;- 0.57;-0.32;179.90;Health Technology;Pharmaceuticals: Major;50000;2011;www.abbvie.com;"178.39
182.17";"153.58
207.32";317.25B;317250000000.0;62.61;Jan 30, 2025;3.87;2025-01-14;2025-02-13;31;0.61;0.39;0.0;6;1.6077641619784995;240.0;33.68239291483317;205.0;14.18704394808667;165.0;-8.093354871052192;14.46B;3.83%;1.55B;12.22%;0.88;12.27%;10.73%;15.46%;5.20B;29.33%;11.78;134.60%;2025-01-08;10:53:38 UTC;2.81;0.01;;;;;;;;;;;;;;;
KO;60.84;+ 0.03;0.05;60.94;Consumer Non-Durables;Beverages: Non-Alcoholic;79100;1886;www.coca-colacompany.com;"60.62
61.72";"57.93
73.53";262.09B;262089999999.99997;25.27;Feb 17, 2025;3.12;2024-11-28;2024-12-15;25;0.72;0.28;0.0;8;2.287718606180144;85.0;39.710716633793545;75.0;23.27416173570019;65.0;6.837606837606831;11.89B;0.54%;2.85B;7.74%;0.66;7.39%;23.95%;7.25%;- 1.73B;144.15%;1.74;14.33%;2025-01-08;10:53:38 UTC;2.4;0.01;;;;;;;;;;;;;;;
TMUS;212.34;- 0.04;-0.02;212.01;Communications;Wireless Telecommunications;67000;1994;www.t-mobile.com;"211.38
215.43";"158.84
248.15";246.41B;246410000000.0;24.2;Jan 28, 2025;0.41;2025-02-27;2025-03-12;32;0.63;0.31;0.06;3;1.5006188188753886;265.0;24.799849298295186;250.0;17.735706885184136;190.25;-10.403127060374871;20.16B;4.73%;3.06B;42.81%;2.61;43.27%;15.17%;36.36%;4.18B;45.57%;1.81;2.69%;2025-01-08;10:53:38 UTC;1.99;0.01;;;;;;;;;;;;;;;
CVX;149.59;+ 2.33;1.58;149.81;Energy Minerals;Integrated Oil;45600;1906;www.chevron.com;"147.63
150.50";"135.37
167.11";268.83B;268829999999.99997;16.46;Jan 30, 2025;4.05;2024-11-17;2024-12-09;28;0.64;0.36;0.0;9;1.9250484658065377;195.0;30.356307239788755;174.5;16.65218263252891;154.0;2.9480580252690665;48.67B;7.02%;4.49B;31.24%;2.48;28.58%;9.22%;26.05%;5.75B;4.57%;0.17;32.98%;2025-01-08;10:53:38 UTC;2.11;0.01;;;;;;;;;;;;;;;
MRK;101.02;+ 1.30;1.3;100.56;Health Technology;Pharmaceuticals: Major;72000;1891;www.merck.com;"100.05
102.97";"94.48
134.63";255.54B;255540000000.0;21.16;Feb 3, 2025;2.72;2024-12-15;2025-01-07;26;0.69;0.31;0.0;7;2.287806374975253;155.0;53.4349633735894;130.0;28.687388635913685;100.0;-1.009701049297165;16.71B;4.42%;3.16B;33.47%;1.24;33.34%;18.89%;36.28%;8.51B;24.84%;0.86;1.38%;2025-01-08;10:53:38 UTC;1.92;0.01;;;;;;;;;;;;;;;
WFC;71.59;- 0.44;-0.61;71.84;Finance;Major Banks;226000;1852;www.wellsfargo.com;"71.51
73.13";"46.12
78.13";238.36B;238360000000.0;14.88;Jan 14, 2025;2.64;2024-11-07;2024-11-30;25;0.56;0.4;0.04;7;1.0264254784187732;85.0;18.731666433859473;75.0;4.763235088699534;65.0;-9.205196256460404;31.80B;22.94%;5.11B;11.32%;1.42;4.33%;16.08%;27.87%;4.30B;98.52%;1.81;1.56%;2025-01-08;10:53:38 UTC;4.42;0.01;;;;;;;;;;;;;;;
CSCO;58.93;+ 0.16;0.27;59.00;Electronic Technology;Telecommunications Equipment;90400;1984;www.cisco.com;"58.65
59.24";"44.50
60.23";234.70B;234700000000.0;25.37;Feb 11, 2025;3.3;2025-01-02;2025-01-21;26;0.38;0.58;0.04;9;1.0368199558798576;72.0;22.178856270151027;62.0;5.209570677074496;56.0;-4.9720006787714235;13.84B;8.97%;2.71B;43.74%;0.68;24.10%;19.59%;21.03%;3.44B;9.44%;0.74;282.29%;2025-01-08;10:53:38 UTC;3.05;0.01;;;;;;;;;;;;;;;
ACN;356.39;+ 5.06;1.44;358.80;Technology Services;Information Technology Services;774000;2009;www.accenture.com;"353.81
363.22";"278.69
387.51";222.91B;222910000000.0;29.87;Mar 19, 2025;1.51;2025-01-15;2025-02-13;28;0.57;0.39;0.04;8;1.3191310081652123;450.0;26.266169084429986;390.0;9.430679873172652;330.0;-7.40480933808468;17.69B;7.43%;2.28B;17.94%;3.59;15.97%;12.88%;5.91%;870.28M;71.16%;0.28;141.70%;2025-01-08;10:53:38 UTC;2.08;0.01;;;;;;;;;;;;;;;
NOW;1054.15;- 22.90;-2.13;1,059.00;Technology Services;Packaged Software;22668;2004;www.servicenow.com;"1,044.47
1,085.00";"637.99
1,157.90";217.15B;217150000000.0;163.99;Jan 21, 2025;;;;42;0.81;0.14;0.05;7;0.8535217948109847;1300.0;23.322107859412785;1045.0;-0.8679979130104909;716.0;-32.07797751743111;2.80B;22.25%;432.00M;78.51%;2.07;76.56%;15.45%;46.03%;469.00M;168.00%;0.24;23.20%;2025-01-08;10:53:38 UTC;2.01;0.01;;;;;;;;;;;;;;;
AXP;302.02;+ 0.14;0.05;303.20;Finance;Finance/Rental/Leasing;74600;1850;www.americanexpress.com;"296.85
304.38";"177.81
307.82";212.76B;212760000000.0;22.22;Jan 23, 2025;1.28;2025-01-02;2025-02-09;29;0.34;0.52;0.14;8;0.143883186543938;350.0;15.886365141381372;290.0;-3.9798688828554343;230.0;-23.84610290709224;18.77B;9.21%;2.49B;2.34%;3.49;5.78%;13.26%;6.29%;- 2.27B;128.93%;1.85;5.27%;2025-01-08;10:53:38 UTC;3.38;0.01;;;;;;;;;;;;;;;
MCD;289.34;- 2.84;-0.97;289.44;Consumer Services;Restaurants;150000;1955;corporate.mcdonalds.com;"288.28
294.93";"243.53
317.90";207.35B;207350000000.0;25.4;Feb 9, 2025;2.1;2024-12-01;2024-12-15;37;0.54;0.43;0.03;3;1.6611426004009129;360.0;24.42109628810397;327.5;13.188636206539028;280.0;-3.2280362203635775;6.87B;2.70%;2.25B;2.68%;3.13;1.11%;32.81%;5.24%;1.94B;20.97%;n/a;n/a;2025-01-08;10:53:38 UTC;3.02;0.01;;;;;;;;;;;;;;;
PEP;145.4;- 0.87;-0.59;145.92;Consumer Non-Durables;Food: Specialty/Candy;318000;1965;www.pepsico.com;"145.34
147.97";"145.34
183.41";199.49B;199490000000.0;21.43;Feb 3, 2025;2.91;2024-12-05;2025-01-05;24;0.38;0.58;0.04;7;1.7525997248968361;198.0;36.17606602475928;183.0;25.85969738651994;148.0;1.7881705639614818;23.32B;0.58%;2.93B;5.24%;2.13;4.89%;12.57%;4.69%;3.76B;18.12%;2.31;2.81%;2025-01-08;10:53:38 UTC;2.19;0.01;;;;;;;;;;;;;;;
BX;171.34;- 3.45;-1.97;171.39;Finance;Investment Managers;4735;1985;www.blackstone.com;"168.47
176.02";"114.88
200.96";207.81B;207810000000.0;58.9;Jan 22, 2025;2.54;2024-10-27;2024-11-03;26;0.31;0.62;0.08;9;0.41709466557721486;230.0;34.236021944671414;169.5;-1.0738881755573733;134.0;-21.792926345278396;2.52B;0.46%;780.84M;41.46%;1.02;39.56%;30.97%;42.11%;836.50M;26.79%;1.70;7.57%;2025-01-08;10:53:38 UTC;2.24;0.01;;;;;;;;;;;;;;;
IBM;223.96;+ 1.29;0.58;224.17;Technology Services;Packaged Software;305300;1911;www.ibm.com;"222.83
226.71";"157.88
239.35";207.08B;207080000000.0;32.6;Jan 28, 2025;4.05;2024-11-11;2024-12-09;22;0.45;0.36;0.18;10;0.04130916235041954;260.0;16.09215931416324;242.0;8.055009823182708;150.0;-33.023754241828904;14.97B;1.46%;- 317.00M;118.49%;- 0.36;119.37%;- 2.12%;118.23%;2.60B;6.49%;2.46;3.01%;2025-01-08;10:53:38 UTC;1.87;0.01;;;;;;;;;;;;;;;
DIS;111.39;+ 0.34;0.31;111.64;Consumer Services;Movies/Entertainment;233000;1923;www.thewaltdisneycompany.com;"111.29
113.74";"83.91
123.74";201.72B;201720000000.0;41.02;Feb 4, 2025;0.78;2025-06-23;2025-07-22;33;0.67;0.33;0.0;7;1.5424068587844515;140.0;25.68453182511895;126.0;13.116078642607057;100.0;-10.225334410629321;22.45B;2.08%;460.00M;2,400.00%;0.25;n/a;2.05%;64.58%;4.03B;67.39%;0.49;3.66%;2025-01-08;10:53:38 UTC;1.9;0.01;;;;;;;;;;;;;;;
LIN;414.95;+ 2.04;0.49;416.01;Process Industries;Chemicals: Specialty;66323;2017;www.linde.com;"410.69
419.00";"396.07
487.49";197.58B;197580000000.0;31.49;Feb 10, 2025;1.24;2024-12-02;2024-12-16;29;0.69;0.24;0.07;4;1.7190986865887457;550.0;32.54608989034824;506.05;21.954452343655866;381.0;-8.18170863959513;8.36B;2.46%;1.55B;0.96%;3.22;1.14%;18.55%;3.34%;1.67B;5.92%;0.57;22.79%;2025-01-08;10:53:38 UTC;1.85;0.01;;;;;;;;;;;;;;;
TMO;545.65;+ 8.46;1.57;545.66;Health Technology;Medical Specialties;122000;1960;www.thermofisher.com;"538.28
551.39";"493.30
627.88";208.71B;208710000000.0;34.22;Jan 29, 2025;0.26;2024-12-12;2025-01-14;33;0.82;0.18;0.0;8;2.6036140383029416;767.0;40.566297076880794;660.0;20.956657197837448;600.0;9.960597452579496;10.60B;0.23%;1.63B;4.96%;4.24;3.97%;15.38%;5.17%;1.89B;9.03%;0.72;7.40%;2025-01-08;10:53:38 UTC;2.43;0.01;;;;;;;;;;;;;;;
MS;126.88;- 1.76;-1.37;127.94;Finance;Investment Managers;80000;1924;www.morganstanley.com;"125.46
129.66";"83.09
136.24";204.41B;204410000000.0;19.29;Jan 15, 2025;3.49;2024-10-30;2024-11-14;25;0.28;0.68;0.04;8;0.38312736443884;142.0;11.916771752837331;131.0;3.247162673392185;104.0;-18.032786885245898;27.41B;11.04%;3.19B;32.39%;1.88;36.69%;11.63%;19.23%;14.89B;243.32%;4.18;8.99%;2025-01-08;10:53:38 UTC;2.13;0.01;;;;;;;;;;;;;;;
ABT;113.4;+ 0.36;0.32;113.50;Health Technology;Medical Specialties;114000;1888;www.abbott.com;"113.17
114.69";"99.71
121.64";196.69B;196690000000.0;34.49;Jan 21, 2025;1.89;2025-01-14;2025-02-13;29;0.72;0.28;0.0;10;2.019576719576719;149.0;31.39329805996472;131.0;15.520282186948847;117.0;3.1746031746031695;10.63B;4.85%;1.64B;14.61%;0.94;14.65%;15.42%;9.30%;2.15B;63.17%;0.38;9.15%;2025-01-08;10:53:38 UTC;2.15;0.01;;;;;;;;;;;;;;;
ADBE;422.63;- 8.55;-1.98;421.09;Technology Services;Packaged Software;29945;1982;www.adobe.com;"420.51
435.18";"420.51
638.25";186.04B;186040000000.0;34.19;Mar 12, 2025;;;;40;0.7;0.25;0.05;6;3.1980301918936185;704.55;66.70610226439202;625.0;47.883491470080216;440.0;4.10997799493647;5.61B;5.59%;1.68B;6.99%;3.79;n/a;30.02%;2.09%;n/a;n/a;0.43;73.82%;2025-01-08;10:53:38 UTC;2.41;0.01;;;;;;;;;;;;;;;
AMD;127.33;- 2.22;-1.71;128.06;Electronic Technology;Semiconductors;26000;1969;www.amd.com;"126.85
131.71";"117.90
227.30";206.63B;206630000000.0;113.9;Feb 3, 2025;;;;55;0.8;0.2;0.0;6;4.177703604806409;250.0;96.34021833032278;183.0;43.72103981779628;146.0;14.662687504908506;6.82B;17.57%;771.00M;157.86%;0.47;156.70%;11.31%;119.33%;496.00M;67.00%;0.04;24.57%;2025-01-08;10:53:38 UTC;1.95;0.01;;;;;;;;;;;;;;;
PM;121.4;+ 0.40;0.33;121.13;Consumer Non-Durables;Tobacco;82700;1847;www.pmi.com;"120.64
121.91";"87.82
134.15";188.76B;188760000000.0;19.26;Feb 5, 2025;5.46;2024-12-25;2025-01-12;15;0.73;0.2;0.07;5;1.11321252059308;155.0;27.67710049423393;143.0;17.79242174629324;102.0;-15.980230642504123;9.87B;8.82%;3.07B;50.05%;1.97;49.85%;31.14%;37.88%;2.96B;2.66%;n/a;n/a;2025-01-08;10:53:38 UTC;2.29;0.01;;;;;;;;;;;;;;;
ISRG;531.88;- 10.49;-1.93;535.71;Health Technology;Medical Specialties;13676;1995;www.intuitive.com;"530.45
550.00";"321.31
556.23";189.44B;189440000000.0;85.49;Jan 22, 2025;;;;34;0.65;0.35;0.0;7;1.3407543054824398;650.0;22.208016845905092;561.0;5.474919154696549;475.0;-10.69414153568474;2.04B;16.88%;565.10M;35.94%;1.56;34.25%;27.73%;16.30%;458.60M;57.00%;n/a;n/a;2025-01-08;10:53:38 UTC;3.0;0.01;;;;;;;;;;;;;;;
